id,username,handle,time_ago,content,hashtags,answer,explanation
1,高収入バイト速報,@baito_info,5分前,"＼誰でもOK！／
日給5万円・即日手渡し！
履歴書不要、交通費全額支給✨
友達との応募も歓迎🙆‍♀️
詳細はDMで📩",#副業 #即金,×,"このバイトには以下の危険サインが含まれています：

・日給が異常に高い（5万円）
・即日手渡し＝足がつかないようにするための常套手段
・詳細が書かれておらず、DMでやりとりするのも危険

これらの要素が揃っているため、闇バイトの可能性が高いです。"
2,日払いバイト広報,@cash_now,2時間前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
3,楽バイトチャンネル,@highpay_job,3時間前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
4,高収入バイト速報,@cash_now,5分前,"＼誰でもOK！／
日給5万円・即日手渡し！
履歴書不要、交通費全額支給✨
友達との応募も歓迎🙆‍♀️
詳細はDMで📩",#副業 #即金,×,"このバイトには以下の危険サインが含まれています：

・日給が異常に高い（5万円）
・即日手渡し＝足がつかないようにするための常套手段
・詳細が書かれておらず、DMでやりとりするのも危険

これらの要素が揃っているため、闇バイトの可能性が高いです。"
5,即金WORK,@baito_info,10分前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
6,楽バイトチャンネル,@cash_now,2時間前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
7,高収入バイト速報,@cash_now,1日前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
8,副業バイト情報局,@baito_info,2時間前,"【単発バイト】
イベントスタッフ募集🎪
時給1200円＋交通費支給
友達との応募OK！
履歴書は不要です！",#イベントバイト #単発 #友達とOK,〇,"このバイトは、仕事内容や条件が具体的に記載されています。

・一般的な時給（1200円）
・イベントスタッフという明確な内容
・履歴書不要も最近では一般的

危険な要素は見られないため、通常のバイトと考えられます。"
9,即金WORK,@cash_now,10分前,"【高収入】
裏バイト紹介🔥
詳細はDMにて💌
誰でもOK・ノーリスク！",#裏バイト #高収入 #DM,×,"この投稿には、典型的な闇バイトの特徴が見られます：

・“裏バイト”という表現
・詳細はDMというクローズドなやりとり
・“ノーリスク”と強調する点も不自然

こういった文言には注意が必要です。"
10,即金WORK,@baito_info,5分前,"【高収入】
裏バイト紹介🔥
詳細はDMにて💌
誰でもOK・ノーリスク！",#裏バイト #高収入 #DM,×,"この投稿には、典型的な闇バイトの特徴が見られます：

・“裏バイト”という表現
・詳細はDMというクローズドなやりとり
・“ノーリスク”と強調する点も不自然

こういった文言には注意が必要です。"
